shot_value,field_goal_percentage,lag1,home_crowd,score_diff,game_num
3,0.4721,0.0,0,0,1
2,0.5794,0.0,0,0,1
3,0.5337,0.0,0,-3,1
2,0.5794,-1.0,0,-5,1
2,0.5535,0.0,0,-7,1
1,0.5535,1.0,0,-7,1
2,0.5535,-1.0,0,-7,1
2,0.5337,1.0,0,-7,1
2,0.5337,-1.0,0,-9,1
3,0.5877,0.0,0,-9,1
2,0.5877,-1.0,0,-9,1
3,0.5056,0.0,0,-9,1
2,0.4721,-1.0,0,-9,1
3,0.4721,-1.0,0,-9,1
2,0.5,0.0,0,-11,1
3,0.4721,-1.0,0,-9,1
2,0.5056,-1.0,0,-9,1
2,0.5794,1.0,0,-11,1
1,0.5337,1.0,0,-10,1
1,0.5337,1.0,0,-11,1
2,0.5535,-1.0,0,-11,1
3,0.5535,-1.0,0,-11,1
3,0.5794,1.0,0,-14,1
3,0.5337,1.0,0,-14,1
3,0.5056,-1.0,0,-17,1
3,0.4928,0.0,0,-20,1
3,0.5056,1.0,0,-23,1
3,0.5337,-1.0,0,-23,1
1,0.5535,-1.0,0,-24,1
1,0.5535,1.0,0,-25,1
3,0.5056,1.0,0,-28,1
2,0.5877,1.0,0,-30,1
3,0.5877,1.0,0,-24,1
1,0.5877,-1.0,0,-25,1
1,0.5877,1.0,0,-25,1
3,0.4928,1.0,0,-25,1
2,0.5877,-1.0,0,-27,1
2,0.3333,0.0,0,-27,1
3,0.5056,1.0,0,-27,1
3,0.5337,-1.0,0,-25,1
2,0.5794,1.0,0,-27,1
2,0.5535,1.0,0,-25,1
3,0.5877,1.0,0,-25,1
2,0.5877,-1.0,0,-27,1
2,0.5535,-1.0,0,-29,1
1,0.5535,1.0,0,-30,1
3,0.5337,-1.0,0,-31,1
2,0.4721,1.0,0,-29,1
3,0.4928,-1.0,0,-32,1
3,0.5877,1.0,0,-29,1
2,0.4721,-1.0,0,-28,1
1,0.4721,1.0,0,-27,1
1,0.4721,1.0,0,-28,1
3,0.5337,1.0,0,-25,1
3,0.5877,-1.0,0,-25,1
2,0.5056,-1.0,0,-25,1
3,0.4928,1.0,0,-25,1
2,0.5794,1.0,0,-25,1
2,0.5794,-1.0,0,-27,1
2,0.4721,1.0,0,-27,1
3,0.5056,-1.0,0,-25,1
3,0.5337,-1.0,0,-28,1
3,0.5877,-1.0,0,-26,1
3,0.5337,1.0,0,-24,1
2,0.5877,-1.0,0,-24,1
1,0.5535,1.0,0,-25,1
1,0.5535,1.0,0,-25,1
1,0.3333,-1.0,0,-25,1
2,0.4928,-1.0,0,-25,1
3,0.5877,-1.0,0,-28,1
3,0.5056,-1.0,0,-28,1
1,0.5056,-1.0,0,-25,1
1,0.5056,1.0,0,-26,1
3,0.5337,0.0,0,0,2
2,0.4721,0.0,0,-2,2
2,0.5337,-1.0,0,-2,2
2,0.4721,1.0,0,-2,2
2,0.5337,-1.0,0,-4,2
2,0.5877,0.0,0,-6,2
3,0.5877,1.0,0,-9,2
2,0.4721,-1.0,0,-9,2
3,0.5337,1.0,0,-9,2
3,0.5535,0.0,0,-9,2
2,0.4721,-1.0,0,-9,2
3,0.4721,-1.0,0,-9,2
2,0.4928,0.0,0,-7,2
3,0.5337,-1.0,0,-10,2
1,0.5337,1.0,0,-10,2
1,0.5337,-1.0,0,-10,2
3,0.5535,1.0,0,-10,2
2,0.5794,0.0,0,-12,2
2,0.5794,1.0,0,-12,2
2,0.4721,-1.0,0,-10,2
1,0.5337,-1.0,0,-9,2
1,0.5337,1.0,0,-10,2
3,0.5337,1.0,0,-11,2
2,0.4721,-1.0,0,-13,2
3,0.5337,1.0,0,-13,2
2,0.5794,-1.0,0,-13,2
1,0.5877,1.0,0,-14,2
1,0.5877,1.0,0,-14,2
2,0.5535,-1.0,0,-16,2
2,0.5877,-1.0,0,-16,2
2,0.5535,1.0,0,-18,2
3,0.5877,-1.0,0,-18,2
1,0.5877,-1.0,0,-19,2
1,0.5877,1.0,0,-20,2
2,0.5535,1.0,0,-22,2
2,0.5794,-1.0,0,-22,2
3,0.4721,1.0,0,-20,2
2,0.5535,1.0,0,-20,2
3,0.5337,-1.0,0,-18,2
3,0.5535,-1.0,0,-18,2
2,0.4721,-1.0,0,-20,2
2,0.5337,-1.0,0,-20,2
2,0.5794,-1.0,0,-20,2
3,0.5877,1.0,0,-17,2
2,0.5794,1.0,0,-17,2
3,0.4721,1.0,0,-17,2
2,0.5794,1.0,0,-17,2
3,0.5056,0.0,0,-17,2
2,0.4721,-1.0,0,-17,2
3,0.5337,-1.0,0,-17,2
2,0.5056,-1.0,0,-17,2
3,0.4928,-1.0,0,-15,2
3,0.4721,-1.0,0,-15,2
2,0.5535,-1.0,0,-15,2
3,0.4928,-1.0,0,-18,2
2,0.5794,-1.0,0,-18,2
3,0.5056,-1.0,0,-19,2
3,0.4721,-1.0,0,-22,2
2,0.5794,-1.0,0,-22,2
3,0.5535,-1.0,0,-22,2
2,0.5535,1.0,0,-19,2
1,0.5337,-1.0,0,-20,2
1,0.5337,1.0,0,-21,2
2,0.4721,1.0,0,-19,2
2,0.5056,1.0,0,-21,2
2,0.4721,-1.0,0,-23,2
1,0.5337,1.0,0,-24,2
1,0.5337,1.0,0,-25,2
3,0.4211,0.0,0,-23,2
2,0.4721,1.0,0,-22,2
1,0.4721,-1.0,0,-23,2
1,0.4721,1.0,0,-24,2
2,0.5877,-1.0,0,-23,2
2,0.4721,1.0,0,-23,2
2,0.5877,1.0,0,-23,2
2,0.4721,-1.0,0,-23,2
2,0.5877,1.0,0,-25,2
1,0.5056,1.0,0,-24,2
1,0.5056,1.0,0,-25,2
2,0.5056,1.0,0,-25,2
2,0.3333,0.0,0,-21,2
2,0.5056,-1.0,0,-21,2
2,0.5,0.0,0,-21,2
3,0.5535,0.0,0,0,3
3,0.4721,0.0,0,0,3
3,0.5535,-1.0,0,-3,3
2,0.4721,1.0,0,-2,3
3,0.5337,0.0,0,-2,3
2,0.5877,0.0,0,-1,3
3,0.5877,1.0,0,1,3
3,0.5337,1.0,0,3,3
3,0.4721,-1.0,0,0,3
3,0.4721,1.0,0,0,3
3,0.4721,-1.0,0,0,3
3,0.5877,-1.0,0,0,3
2,0.5337,-1.0,0,-2,3
3,0.5877,-1.0,0,0,3
3,0.4721,-1.0,0,0,3
3,0.5056,0.0,0,2,3
3,0.5535,1.0,0,4,3
3,0.5535,-1.0,0,4,3
3,0.5337,1.0,0,4,3
3,0.5535,-1.0,0,4,3
2,0.5,0.0,0,4,3
1,0.5,-1.0,0,4,3
1,0.5,-1.0,0,3,3
3,0.5337,-1.0,0,5,3
3,0.5535,-1.0,0,5,3
3,0.5877,-1.0,0,5,3
2,0.5337,-1.0,0,5,3
3,0.4721,-1.0,0,2,3
3,0.5535,-1.0,0,4,3
3,0.4928,0.0,0,4,3
3,0.4721,1.0,0,4,3
3,0.5337,-1.0,0,4,3
2,0.5877,-1.0,0,2,3
2,0.5337,-1.0,0,2,3
3,0.5535,-1.0,0,2,3
2,0.5877,1.0,0,2,3
1,0.5,1.0,0,1,3
1,0.5,1.0,0,0,3
3,0.4721,-1.0,0,0,3
2,0.5535,-1.0,0,3,3
3,0.5056,-1.0,0,3,3
2,0.5056,-1.0,0,1,3
3,0.5337,-1.0,0,0,3
2,0.5535,-1.0,0,0,3
3,0.5877,-1.0,0,0,3
2,0.4721,-1.0,0,-2,3
3,0.5794,0.0,0,-2,3
2,0.4721,1.0,0,-4,3
3,0.5535,1.0,0,-4,3
2,0.5794,-1.0,0,-3,3
3,0.5877,-1.0,0,-1,3
3,0.5056,1.0,0,-1,3
3,0.5056,1.0,0,-2,3
3,0.5056,1.0,0,0,3
2,0.5794,1.0,0,2,3
3,0.4721,1.0,0,2,3
3,0.5337,1.0,0,-1,3
3,0.5337,1.0,0,-1,3
2,0.5794,-1.0,0,-1,3
2,0.5877,-1.0,0,-1,3
3,0.4721,-1.0,0,-4,3
3,0.5337,-1.0,0,-7,3
3,0.5337,1.0,0,-5,3
3,0.5535,-1.0,0,-8,3
3,0.5877,-1.0,0,-6,3
3,0.5877,-1.0,0,-6,3
2,0.5877,-1.0,0,-4,3
2,0.5535,1.0,0,-6,3
3,0.4721,1.0,0,-6,3
2,0.5535,1.0,0,-6,3
2,0.5535,-1.0,0,-6,3
2,0.5794,-1.0,0,-8,3
2,0.5535,-1.0,0,-10,3
3,0.4721,-1.0,0,-10,3
2,0.5877,-1.0,0,-10,3
3,0.5337,-1.0,0,-10,3
3,0.5877,-1.0,0,-9,3
2,0.5056,-1.0,0,-9,3
1,0.5535,1.0,0,-9,3
1,0.5535,-1.0,0,-10,3
2,0.4721,-1.0,0,-10,3
2,0.4721,-1.0,0,-12,3
3,0.5056,-1.0,0,-14,3
2,0.5535,1.0,0,-14,3
2,0.4721,0.0,0,-2,4
2,0.5877,0.0,0,-4,4
1,0.5337,0.0,0,-5,4
1,0.5337,1.0,0,-6,4
3,0.5056,0.0,0,-5,4
3,0.4721,1.0,0,-8,4
3,0.4721,1.0,0,-6,4
2,0.4721,-1.0,0,-6,4
2,0.5056,-1.0,0,-3,4
3,0.4928,0.0,0,-3,4
2,0.5,0.0,0,-3,4
2,0.5056,-1.0,0,-2,4
2,0.5794,0.0,0,-4,4
2,0.5794,1.0,0,-4,4
3,0.5056,1.0,0,-4,4
3,0.5337,1.0,0,-7,4
3,0.5337,1.0,0,-7,4
2,0.5535,0.0,0,-9,4
2,0.5337,-1.0,0,-11,4
2,0.5877,1.0,0,-13,4
2,0.5337,1.0,0,-13,4
3,0.4721,-1.0,0,-13,4
2,0.5794,-1.0,0,-13,4
3,0.5337,-1.0,0,-13,4
3,0.5337,1.0,0,-16,4
3,0.4721,-1.0,0,-16,4
2,0.4721,-1.0,0,-16,4
3,0.4721,-1.0,0,-13,4
2,0.5337,1.0,0,-10,4
3,0.5337,-1.0,0,-10,4
3,0.5056,-1.0,0,-10,4
3,0.5877,1.0,0,-13,4
2,0.5877,1.0,0,-15,4
3,0.5337,-1.0,0,-12,4
3,0.5535,1.0,0,-12,4
2,0.5337,-1.0,0,-11,4
2,0.5877,1.0,0,-13,4
2,0.5337,1.0,0,-15,4
2,0.5794,-1.0,0,-15,4
2,0.5056,-1.0,0,-13,4
1,0.5794,-1.0,0,-13,4
1,0.5794,-1.0,0,-14,4
3,0.4721,-1.0,0,-14,4
2,0.5056,-1.0,0,-15,4
1,0.5056,1.0,0,-16,4
2,0.5535,-1.0,0,-9,4
2,0.4721,-1.0,0,-11,4
2,0.4721,1.0,0,-11,4
3,0.5337,1.0,0,-14,4
1,0.5535,-1.0,0,-15,4
1,0.5535,1.0,0,-15,4
3,0.5337,1.0,0,-12,4
3,0.5877,1.0,0,-15,4
2,0.5535,-1.0,0,-11,4
2,0.5535,-1.0,0,-11,4
3,0.5056,1.0,0,-14,4
2,0.4721,-1.0,0,-11,4
1,0.4721,-1.0,0,-11,4
1,0.4721,-1.0,0,-12,4
2,0.5337,-1.0,0,-11,4
2,0.5337,1.0,0,-13,4
1,0.5337,1.0,0,-14,4
1,0.5337,1.0,0,-15,4
3,0.4721,1.0,0,-15,4
3,0.5877,1.0,0,-15,4
3,0.5535,1.0,0,-15,4
1,0.5056,1.0,0,-13,4
1,0.5056,1.0,0,-14,4
1,0.5877,-1.0,0,-12,4
1,0.5877,-1.0,0,-12,4
2,0.5877,-1.0,0,-12,4
1,0.4721,-1.0,0,-13,4
1,0.4721,1.0,0,-13,4
2,0.5056,1.0,0,-15,4
2,0.5794,0.0,1,0,5
1,0.5337,0.0,1,-1,5
1,0.5337,1.0,1,0,5
2,0.5877,0.0,1,2,5
2,0.5535,0.0,1,4,5
2,0.5535,1.0,1,6,5
1,0.5337,1.0,1,4,5
1,0.5337,1.0,1,5,5
2,0.5794,1.0,1,5,5
2,0.5794,-1.0,1,5,5
2,0.5337,1.0,1,5,5
2,0.4721,0.0,1,5,5
2,0.5535,1.0,1,7,5
3,0.4721,-1.0,1,7,5
3,0.4928,0.0,1,10,5
2,0.5877,1.0,1,10,5
2,0.5337,1.0,1,10,5
3,0.5337,-1.0,1,13,5
1,0.5535,1.0,1,14,5
1,0.5535,1.0,1,15,5
3,0.5535,1.0,1,13,5
3,0.5877,-1.0,1,13,5
2,0.4721,-1.0,1,10,5
2,0.5794,1.0,1,10,5
2,0.5337,1.0,1,8,5
3,0.5794,1.0,1,6,5
3,0.5337,-1.0,1,6,5
3,0.4721,-1.0,1,6,5
3,0.5337,-1.0,1,9,5
3,0.5337,1.0,1,12,5
2,0.5337,1.0,1,12,5
3,0.4721,-1.0,1,15,5
3,0.5877,-1.0,1,15,5
2,0.5877,-1.0,1,15,5
3,0.4721,1.0,1,18,5
3,0.5337,-1.0,1,18,5
3,0.4721,1.0,1,18,5
1,0.4721,-1.0,1,18,5
1,0.4721,-1.0,1,19,5
3,0.4211,0.0,1,16,5
3,0.4928,1.0,1,19,5
2,0.4721,1.0,1,21,5
2,0.5794,-1.0,1,21,5
2,0.5794,-1.0,1,21,5
2,0.5337,-1.0,1,21,5
2,0.5535,-1.0,1,21,5
2,0.4721,1.0,1,21,5
3,0.5337,1.0,1,22,5
2,0.4721,-1.0,1,24,5
2,0.5877,-1.0,1,26,5
3,0.4721,1.0,1,24,5
2,0.4721,-1.0,1,26,5
1,0.4721,1.0,1,27,5
3,0.5794,-1.0,1,28,5
3,0.5337,1.0,1,28,5
3,0.5794,1.0,1,31,5
2,0.4721,1.0,1,33,5
1,0.5535,-1.0,1,34,5
1,0.5535,1.0,1,35,5
2,0.5794,1.0,1,32,5
3,0.5877,1.0,1,33,5
3,0.5877,1.0,1,33,5
3,0.5877,1.0,1,33,5
1,0.4928,1.0,1,29,5
1,0.4928,1.0,1,30,5
2,0.4211,-1.0,1,29,5
2,0.5337,0.0,1,0,6
2,0.5535,0.0,1,2,6
3,0.4721,0.0,1,5,6
2,0.5337,-1.0,1,7,6
3,0.5535,1.0,1,7,6
3,0.4721,1.0,1,10,6
3,0.5337,1.0,1,8,6
3,0.5877,0.0,1,8,6
3,0.5877,-1.0,1,8,6
3,0.4721,1.0,1,8,6
3,0.5337,-1.0,1,11,6
2,0.4721,-1.0,1,9,6
2,0.4721,-1.0,1,11,6
3,0.5056,0.0,1,11,6
2,0.5535,-1.0,1,13,6
3,0.5337,1.0,1,13,6
3,0.5877,-1.0,1,13,6
2,0.4721,1.0,1,15,6
1,0.4721,1.0,1,10,6
1,0.4721,1.0,1,10,6
2,0.5535,1.0,1,12,6
3,0.4211,0.0,1,12,6
2,0.5794,0.0,1,14,6
3,0.5877,1.0,1,17,6
3,0.4721,-1.0,1,20,6
2,0.5535,1.0,1,20,6
2,0.5337,-1.0,1,18,6
3,0.5535,1.0,1,19,6
3,0.4721,1.0,1,22,6
3,0.4721,1.0,1,22,6
2,0.5337,-1.0,1,22,6
1,0.5535,1.0,1,23,6
1,0.5535,1.0,1,24,6
3,0.5337,1.0,1,24,6
2,0.4721,-1.0,1,22,6
2,0.4721,-1.0,1,20,6
1,0.5877,1.0,1,19,6
1,0.5877,1.0,1,20,6
1,0.5794,1.0,1,21,6
1,0.5794,1.0,1,22,6
2,0.5056,-1.0,1,24,6
3,0.5337,-1.0,1,25,6
2,0.4928,0.0,1,25,6
1,0.5056,1.0,1,26,6
1,0.5056,1.0,1,27,6
3,0.5337,1.0,1,27,6
2,0.3333,0.0,1,25,6
3,0.5794,1.0,1,26,6
3,0.4721,-1.0,1,27,6
2,0.5794,1.0,1,24,6
2,0.5535,1.0,1,24,6
3,0.5877,1.0,1,27,6
3,0.4721,1.0,1,30,6
1,0.4721,1.0,1,29,6
1,0.4721,1.0,1,30,6
3,0.5337,-1.0,1,30,6
2,0.4721,1.0,1,32,6
2,0.4211,-1.0,1,34,6
3,0.5877,1.0,1,37,6
3,0.5337,-1.0,1,37,6
2,0.4721,1.0,1,35,6
2,0.5535,1.0,1,37,6
2,0.5794,-1.0,1,35,6
3,0.5877,1.0,1,38,6
1,0.5056,1.0,1,39,6
1,0.5056,1.0,1,40,6
2,0.5,0.0,1,40,6
3,0.3333,-1.0,1,40,6
2,0.3333,-1.0,1,42,6
3,0.4211,1.0,1,40,6
2,0.5794,0.0,0,0,7
2,0.5794,-1.0,0,0,7
2,0.4721,0.0,0,0,7
3,0.5877,0.0,0,2,7
2,0.5337,0.0,0,0,7
2,0.5794,-1.0,0,2,7
2,0.4721,-1.0,0,2,7
2,0.5535,0.0,0,2,7
3,0.5337,1.0,0,2,7
2,0.5535,-1.0,0,2,7
2,0.4721,1.0,0,2,7
3,0.4721,-1.0,0,2,7
3,0.5056,0.0,0,2,7
2,0.5877,-1.0,0,2,7
2,0.5794,-1.0,0,2,7
2,0.5056,-1.0,0,3,7
2,0.5535,-1.0,0,6,7
1,0.4721,-1.0,0,9,7
1,0.4721,-1.0,0,9,7
2,0.5794,1.0,0,7,7
2,0.5337,-1.0,0,7,7
2,0.5794,1.0,0,7,7
3,0.5535,-1.0,0,6,7
1,0.5877,-1.0,0,5,7
1,0.5877,1.0,0,4,7
1,0.5337,1.0,0,3,7
1,0.5337,1.0,0,2,7
3,0.5337,1.0,0,-1,7
3,0.5337,1.0,0,1,7
3,0.5535,1.0,0,-2,7
3,0.5337,-1.0,0,-5,7
2,0.5337,1.0,0,-2,7
3,0.5535,1.0,0,-2,7
2,0.5794,1.0,0,0,7
1,0.5337,-1.0,0,0,7
2,0.4721,-1.0,0,0,7
2,0.5794,-1.0,0,2,7
2,0.4721,1.0,0,4,7
3,0.5337,-1.0,0,1,7
2,0.5794,-1.0,0,1,7
2,0.4721,-1.0,0,-1,7
2,0.5337,1.0,0,-1,7
3,0.4721,1.0,0,-1,7
3,0.5535,-1.0,0,-1,7
2,0.5877,1.0,0,-3,7
2,0.5877,1.0,0,-3,7
2,0.5535,1.0,0,-3,7
2,0.5794,-1.0,0,-3,7
1,0.5794,1.0,0,-4,7
3,0.4928,0.0,0,-4,7
2,0.5535,1.0,0,-6,7
2,0.4721,1.0,0,-4,7
3,0.4721,-1.0,0,-7,7
3,0.5337,-1.0,0,-10,7
2,0.5877,1.0,0,-7,7
3,0.5535,1.0,0,-7,7
2,0.5337,1.0,0,-7,7
2,0.5056,1.0,0,-7,7
3,0.5535,1.0,0,-7,7
3,0.5056,-1.0,0,-7,7
2,0.5535,-1.0,0,-6,7
2,0.5535,-1.0,0,-6,7
3,0.5056,-1.0,0,-4,7
2,0.5877,-1.0,0,-4,7
2,0.4721,1.0,0,-4,7
2,0.5535,-1.0,0,-2,7
2,0.4721,1.0,0,0,7
1,0.5794,1.0,0,-1,7
1,0.5794,1.0,0,-2,7
2,0.4721,-1.0,0,0,7
2,0.4721,-1.0,0,0,7
3,0.5535,-1.0,0,5,7
1,0.5535,-1.0,0,5,7
1,0.5535,-1.0,0,4,7
2,0.5794,1.0,0,6,7
1,0.5877,1.0,0,5,7
1,0.5877,1.0,0,4,7
2,0.5056,-1.0,0,4,7
1,0.5056,1.0,0,4,7
3,0.5056,-1.0,0,6,7
3,0.5056,-1.0,0,6,7
2,0.5337,-1.0,0,8,7
3,0.5535,1.0,0,7,7
3,0.4721,0.0,1,-3,8
3,0.4721,-1.0,1,0,8
3,0.5337,0.0,1,3,8
3,0.5337,1.0,1,3,8
3,0.5337,-1.0,1,6,8
3,0.5877,0.0,1,9,8
3,0.5337,1.0,1,9,8
1,0.5794,0.0,1,10,8
1,0.5794,1.0,1,11,8
2,0.4721,1.0,1,10,8
3,0.5337,-1.0,1,7,8
2,0.5,0.0,1,9,8
3,0.4928,0.0,1,6,8
2,0.4928,-1.0,1,8,8
2,0.5794,1.0,1,8,8
3,0.4721,1.0,1,6,8
1,0.5877,1.0,1,5,8
1,0.5877,1.0,1,6,8
2,0.5877,1.0,1,4,8
3,0.4211,0.0,1,2,8
1,0.5056,0.0,1,3,8
1,0.5056,1.0,1,4,8
3,0.5337,-1.0,1,5,8
2,0.5056,1.0,1,5,8
3,0.5877,-1.0,1,6,8
3,0.5794,1.0,1,7,8
1,0.4721,-1.0,1,6,8
1,0.4721,1.0,1,7,8
1,0.4928,1.0,1,6,8
1,0.4928,1.0,1,7,8
3,0.5877,1.0,1,7,8
2,0.5877,1.0,1,7,8
3,0.4721,1.0,1,10,8
3,0.5877,-1.0,1,13,8
2,0.4721,1.0,1,12,8
3,0.4721,1.0,1,9,8
2,0.4721,-1.0,1,8,8
3,0.5337,1.0,1,8,8
3,0.5337,-1.0,1,8,8
2,0.5877,1.0,1,10,8
2,0.5877,1.0,1,12,8
1,0.5877,1.0,1,13,8
2,0.5794,1.0,1,13,8
2,0.5535,0.0,1,15,8
3,0.5056,-1.0,1,13,8
2,0.5056,-1.0,1,13,8
1,0.5056,1.0,1,14,8
2,0.4721,1.0,1,11,8
1,0.5535,1.0,1,9,8
1,0.5535,1.0,1,10,8
3,0.4721,-1.0,1,10,8
1,0.5877,1.0,1,11,8
1,0.5877,1.0,1,12,8
2,0.4721,-1.0,1,10,8
2,0.4721,1.0,1,10,8
2,0.5794,-1.0,1,10,8
1,0.4211,-1.0,1,11,8
1,0.4211,1.0,1,12,8
3,0.5535,1.0,1,15,8
3,0.5337,-1.0,1,15,8
3,0.5337,-1.0,1,18,8
3,0.4928,1.0,1,18,8
3,0.5337,1.0,1,21,8
2,0.5337,1.0,1,20,8
1,0.5337,1.0,1,21,8
1,0.5337,1.0,1,22,8
2,0.5056,1.0,1,24,8
1,0.5337,1.0,1,22,8
1,0.5337,1.0,1,23,8
1,0.5877,1.0,1,22,8
1,0.5877,1.0,1,23,8
3,0.5337,1.0,1,20,8
3,0.4211,1.0,1,18,8
2,0.5056,1.0,1,18,8
1,0.5535,1.0,1,17,8
1,0.5535,1.0,1,18,8
2,0.4211,-1.0,1,18,8
2,0.5535,1.0,1,20,8
3,0.4211,-1.0,1,21,8
1,0.5794,0.0,0,3,9
1,0.5794,-1.0,0,2,9
3,0.4721,0.0,0,4,9
2,0.5877,0.0,0,4,9
2,0.4721,1.0,0,4,9
3,0.5056,0.0,0,4,9
2,0.5056,-1.0,0,4,9
3,0.4721,-1.0,0,4,9
3,0.5337,0.0,0,6,9
3,0.4928,0.0,0,8,9
3,0.4721,-1.0,0,8,9
2,0.5535,0.0,0,8,9
3,0.5056,-1.0,0,5,9
2,0.5794,1.0,0,5,9
3,0.5794,-1.0,0,7,9
2,0.5877,-1.0,0,5,9
2,0.5877,1.0,0,7,9
2,0.4721,-1.0,0,9,9
2,0.5,0.0,0,9,9
3,0.5535,-1.0,0,11,9
3,0.5877,-1.0,0,11,9
3,0.4721,-1.0,0,11,9
2,0.5794,-1.0,0,13,9
3,0.5337,-1.0,0,13,9
3,0.4928,-1.0,0,13,9
3,0.5337,1.0,0,10,9
1,0.5794,-1.0,0,10,9
2,0.5794,-1.0,0,8,9
2,0.5794,1.0,0,8,9
2,0.5794,-1.0,0,8,9
2,0.4721,-1.0,0,8,9
2,0.5877,-1.0,0,8,9
2,0.4721,1.0,0,10,9
2,0.5794,-1.0,0,10,9
3,0.5056,1.0,0,12,9
3,0.5056,-1.0,0,9,9
2,0.4721,-1.0,0,11,9
3,0.5337,1.0,0,13,9
3,0.5056,1.0,0,13,9
3,0.5337,-1.0,0,15,9
3,0.5337,-1.0,0,18,9
2,0.5877,-1.0,0,18,9
3,0.4721,-1.0,0,15,9
3,0.5337,-1.0,0,17,9
1,0.5794,-1.0,0,19,9
1,0.5794,1.0,0,18,9
2,0.5535,-1.0,0,20,9
3,0.5535,-1.0,0,20,9
2,0.4721,1.0,0,18,9
2,0.4721,1.0,0,18,9
2,0.5535,-1.0,0,18,9
3,0.5056,-1.0,0,21,9
2,0.5535,-1.0,0,19,9
3,0.4721,-1.0,0,21,9
2,0.5877,-1.0,0,21,9
2,0.4211,0.0,0,21,9
2,0.4721,-1.0,0,19,9
1,0.4721,1.0,0,18,9
1,0.4721,1.0,0,20,9
1,0.4721,1.0,0,19,9
3,0.4928,-1.0,0,21,9
3,0.4211,-1.0,0,21,9
1,0.5056,-1.0,0,21,9
1,0.5056,-1.0,0,21,9
3,0.5337,0.0,0,2,10
2,0.5794,0.0,0,4,10
3,0.5535,0.0,0,1,10
2,0.5877,0.0,0,-1,10
1,0.5794,-1.0,0,-1,10
1,0.5794,-1.0,0,-2,10
2,0.5337,-1.0,0,-4,10
2,0.4721,0.0,0,-4,10
3,0.5056,0.0,0,-2,10
1,0.5535,1.0,0,-1,10
1,0.5535,1.0,0,-2,10
2,0.5877,1.0,0,-1,10
3,0.5794,1.0,0,-2,10
2,0.4721,-1.0,0,-1,10
2,0.5056,-1.0,0,-1,10
3,0.5337,1.0,0,0,10
1,0.5877,1.0,0,0,10
1,0.5877,-1.0,0,-1,10
2,0.4721,1.0,0,-1,10
3,0.5535,1.0,0,1,10
2,0.5337,1.0,0,1,10
2,0.5337,-1.0,0,1,10
2,0.5337,-1.0,0,2,10
1,0.5337,1.0,0,1,10
3,0.5337,1.0,0,3,10
2,0.5056,-1.0,0,6,10
2,0.5056,-1.0,0,4,10
3,0.5337,-1.0,0,6,10
